Donor,codename
Sharjah Charity House,private individual organisations
Shinnyo-en ,private individual organisations
Sindh Agriculture and Forestry Workers Cooperation Organization,private individual organisations
Sindh Radiant Organisation,private individual organisations
Social Solidarity Organisation,private individual organisations
Society Development Initiative Organization,private individual organisations
Society for Conservation and Protection of Environment,private individual organisations
Society for Human Emancipation and Development,private individual organisations
Soeurs missionnaires de la charite (Mere Teresa),private individual organisations
Solidarité laique,private individual organisations
Somali Young Doctors Association,private individual organisations
Soroptimist InterNational,private individual organisations
South American Football Confederation (CONMEBOL),private individual organisations
South Sudan Law Society ,private individual organisations
Southern Aid,private individual organisations
Spanish Association for Humanitarian Medicine,private individual organisations
Spanish Religious Organizations,private individual organisations
Sr. Elfride Jagers-berger,private individual organisations
Sr. Hildegard Litzlhammer,private individual organisations
St. John Eye Hospital,private individual organisations
Stiftelsen Litteraturhuset,private individual organisations
Strengthening Participatory Organization,private individual organisations
Sudan Council of Churches,private individual organisations
Sudanese Development Relief Agency,private individual organisations
Sungi,private individual organisations
Support Agency for Rural & Human Association's Development,private individual organisations
Sustainable Action Group,private individual organisations
Sutter Health,private individual organisations
Swedish Convenant Church,private individual organisations
Swedish Free Mission,private individual organisations
Swedish Missionary Association,private individual organisations
Swedish Tibetan Society for School & Culture,private individual organisations
SWEFOR - Swedish Fellowship of Reconciliation,private individual organisations
Syrian Orthodox Church,private individual organisations
Syrisk Orthodox Church Sweden,private individual organisations
Taghyeer,private individual organisations
Taiwan Rotary,private individual organisations
TGK Consult,private individual organisations
Thardeep Rural Development Programme,private individual organisations
The Alliance for InterNational Medical Action,private individual organisations
The Association for Women's Rights in Development,private individual organisations
The Christian Council of Sweden,private individual organisations
The Equal Rights Trust,private individual organisations
The Evangelical Alliance Relief,private individual organisations
The Health Support Organization,private individual organisations
The Humanitarian Forum Yemen,private individual organisations
"The Institute of Cultural Affairs, Japan",private individual organisations
The Jewish Federation of Metropolitan Chicago,private individual organisations
The Mosaic Religious Community,private individual organisations
The SEEP Network,private individual organisations
The Society of the Revival of Islamic Heritage,private individual organisations
The Southasia Trust,private individual organisations
Thrivent Financial for Lutherans,private individual organisations
United Israel Appeal,private individual organisations
United Methodist Church,private individual organisations
United Rural Development Organization,private individual organisations
Universal Intervention and Development Organization,private individual organisations
Universal Network for Knowledge and Empowerment Agency,private individual organisations
USAR,private individual organisations
Verein Bär und Leu,private individual organisations
Vetworks Eastern Africa,private individual organisations
VNG International,private individual organisations
Voluntary Organisations in Cooperation in Emergencies,private individual organisations
WEF - World Editors Forum,private individual organisations
Wereld-missiehulp,private individual organisations
WEUDAM - WEU De-mining Assistance Mission,private individual organisations
William Gallagher Associates,private individual organisations
Women And Health Alliance,private individual organisations
Women Organization for Development & Capacity Building,private individual organisations
World Association of Newspapers and News Publishers,private individual organisations
World Coalition Against the Death Penalty,private individual organisations
World Council of Churches,private individual organisations
World Islamic Economic Forum Foundation,private individual organisations
WORLD LUTERAN FEDERATION - COLOMBIA,private individual organisations
World Neighbors,private individual organisations
World Pharmacists,private individual organisations
Yemen Family Care Association,private individual organisations
Young Africans Development Action,private individual organisations
Young Women's Christian Association/La Strada,private individual organisations
ZACF,private individual organisations
Zanfha Initiative,private individual organisations
HARRODS GROUP,private sector corporations
Chevron Texaco,private sector corporations
The Federation of Korean Industries,private sector corporations
"Daiki, Inc.",private sector corporations
JP Morgan Chase,private sector corporations
Saga Falabella,private sector corporations
"National Fishery Society, Peru",private sector corporations
Santa Isabel Market,private sector corporations
Gamarra's Merchant Commission,private sector corporations
Luchetti,private sector corporations
Backus y Cervesur,private sector corporations
ALICORP,private sector corporations
Lima Airport Partners,private sector corporations
Peru Rail,private sector corporations
Peruvian Private Enterprise Colchones Paraiso,private sector corporations
Ripley,private sector corporations
Nextel Peru,private sector corporations
SANOFI,private sector corporations
NOMECO,private sector corporations
Shell Nigeria,private sector corporations
Freeport-McMoRan Copper & Gold Inc,private sector corporations
MIRC Corporate,private sector corporations
Coin Co. International,private sector corporations
RONCO Consulting Corporation,private sector corporations
RMS Foundation,private sector corporations
Kleenheat Gas,private sector corporations
AIG Disaster Relief Fund,private sector corporations
ROLEX,private sector corporations
Abdul Latif Jameel Group,private sector corporations
Exactmobile (South Africa),private sector corporations
PriceWaterhouseCoopers,private sector corporations
Standard Chartered Bank,private sector corporations
Seylan Bank Limited,private sector corporations
Juhaina for Industries,private sector corporations
Vårt land,private sector corporations
BID,private sector corporations
Chevron Corporation,private sector corporations
Procter & Gamble Inc.,private sector corporations
Honda,private sector corporations
GlaxoSmithKline,private sector corporations
Schering-Plough Corporation,private sector corporations
Abbott Laboratories,private sector corporations
American Express Company,private sector corporations
"Caterpillar, Inc.",private sector corporations
Pfizer,private sector corporations
Merck & Co. Inc.,private sector corporations
EMC Corporation,private sector corporations
Coca-Cola Company,private sector corporations
FedEx,private sector corporations
IBM,private sector corporations
Siemens AG,private sector corporations
Cargill,private sector corporations
Daimler,private sector corporations
International Air Transport Association,private sector corporations
Lihir Gold Limited,private sector corporations
PTT Public Company Limited,private sector corporations
Business Roundtable,private sector corporations
US-China Business Council,private sector corporations
SCOR Group,private sector corporations
Wal-Mart,private sector corporations
Abu Dhabi National Energy Company,private sector corporations
Deloitte and Touche,private sector corporations
"Travian Games, Germany",private sector corporations
HSBC Bank Middle East Limited,private sector corporations
Jefferies Group Inc,private sector corporations
Astellas,private sector corporations
Canon Group,private sector corporations
C & S Wholesale Grocers,private sector corporations
Hartford Financial Services Group,private sector corporations
Philadelphia Insurance Companies,private sector corporations
Aflac,private sector corporations
Gap Inc.,private sector corporations
H-E-B,private sector corporations
ITT Corporation,private sector corporations
"Molycorp, Inc.",private sector corporations
Panasonic,private sector corporations
"QVC, Inc.",private sector corporations
Tasa Meng,private sector corporations
TD Bank,private sector corporations
Toyota Motor Corporation,private sector corporations
United Technologies Corporation,private sector corporations
Wells Fargo & CO,private sector corporations
BNPP,private sector corporations
Chemonics International Inc.,private sector corporations
First National Bank of Namibia,private sector corporations
BASF,private sector corporations
Bayer,private sector corporations
Brother Industries Ltd.,private sector corporations
ConocoPhillips,private sector corporations
DCH Auto Group,private sector corporations
Manulife Financial Corporation,private sector corporations
ExxonMobil,private sector corporations
General Electric,private sector corporations
HSBC,private sector corporations
Hyundai Motor Company,private sector corporations
Jones Lang LaSalle,private sector corporations
KCI,private sector corporations
Eastman Kodak Charitable Trust,private sector corporations
Kohl's Department Stores,private sector corporations
Lockheed Martin,private sector corporations
Lupin,private sector corporations
McDonald's Corporation,private sector corporations
Nikon,private sector corporations
Nukepills,private sector corporations
PotashCorp,private sector corporations
Sun Life Financial Inc.,private sector corporations
Bank of Palestine,private sector corporations
HEMCO,private sector corporations
B2Gold,private sector corporations
"Mitsui USA, Inc.",private sector corporations
Movitel,private sector corporations
Samsung Group,private sector corporations
Johnson & Johnson,private sector corporations
Intel,private sector corporations
Deutsche Gesellschaft für Internationale Zusammenarbeit,private sector corporations
Société Anglogold Ashanti de Guinée,private sector corporations
Coca-Cola Foundation,private sector corporations
Hospital Corporation of America,private sector corporations
McKesson Corporation,private sector corporations
"Cera Products, Inc",private sector corporations
Seplat Petroleum Development Company Plc,private sector corporations
National Oil Company of Liberia,private sector corporations
Liberia Petroleum Company,private sector corporations
Mercury International,private sector corporations
EcoBank,private sector corporations
Canadian Imperial Bank of Commerce,private sector corporations
Sierra Minerals Holdings/Vimetco,private sector corporations
Shell Oil Company,private sector corporations
Ericsson,private sector corporations
Kaiser Permanente,private sector corporations
Scotiabank,private sector corporations
DuPont,private sector corporations
African Rainbow Minerals,private sector corporations
VOLVO,private sector corporations
Novo Nordisk,private sector corporations
Novartis,private sector corporations
Citigroup,private sector corporations
Uniqlo,private sector corporations
Citi,private sector corporations
Microsoft,private sector corporations
MoneyGram International,private sector corporations
New York Life Insurance Company,private sector corporations
"Becton, Dickson and Company",private sector corporations
National Bank of Canada,private sector corporations
Target,private sector corporations
DHL International,private sector corporations
Agility,private sector corporations
International Resources Group,private sector corporations
DOB Foundation,private sector corporations
Baby Box Company,private sector corporations
Facebook,private sector corporations
Digicel Group,private sector corporations
Deutsche Bank AG,private sector corporations
JTS-Korea,private sector corporations
IBN SINA,private sector corporations
SERVICE plus GMBH,private sector corporations
Burma Austria Allianz,private sector corporations
3Com,private sector corporations
3M,private sector corporations
Accenture,private sector corporations
Actavis Group,private sector corporations
Actelion,private sector corporations
Adobe,private sector corporations
Advantest Corporation,private sector corporations
Advent Software,private sector corporations
Agence Humanitaire Africaine,private sector corporations
Agri-Systems,private sector corporations
Agriterra,private sector corporations
Air Cargo Associates,private sector corporations
Air Charter World,private sector corporations
Air Products,private sector corporations
Airamid Health Management,private sector corporations
Airline Cargo Service,private sector corporations
Airlink,private sector corporations
AK Steel,private sector corporations
Akin Gump Strauss Hauer & Feld LLP,private sector corporations
Alcon Laboratories,private sector corporations
ALDI,private sector corporations
AllianceBernstein Holding L.P.,private sector corporations
Allianz Life Insurance Company of North America ,private sector corporations
Altria Group,private sector corporations
America Continental 2000,private sector corporations
American Egg Board,private sector corporations
"Ameriprise Financial, Inc.",private sector corporations
Amgen,private sector corporations
Amway,private sector corporations
ANA Airlines,private sector corporations
ANGLO AMERICAN PLC,private sector corporations
"Anheuser-Busch Companies, Inc.",private sector corporations
AP Moller Maersk Group,private sector corporations
"Applied Materials, Inc.",private sector corporations
Aramark,private sector corporations
Aramex InterNational,private sector corporations
Archer Daniels Midland Company,private sector corporations
Arcos Dorados B.V.,private sector corporations
ARESA,private sector corporations
Argos Cement Company,private sector corporations
Armstrong,private sector corporations
Associates in Rural Development,private sector corporations
Astoria Federal Savings,private sector corporations
AstraZeneca,private sector corporations
Aviation Assistance A/S,private sector corporations
Avon,private sector corporations
AVREO,private sector corporations
AXA Canada,private sector corporations
AXA Group,private sector corporations
Bacardi Limited,private sector corporations
Banesco Bank Venezuela,private sector corporations
Bank of America Corporation,private sector corporations
Bank of West,private sector corporations
Barclays Ghana,private sector corporations
Basic Awareness Rehabilitation & Networking,private sector corporations
BCIE,private sector corporations
Bearing Point,private sector corporations
Bechtel,private sector corporations
BEPROD,private sector corporations
Bertelsmann AG,private sector corporations
"Best Buy Co., Inc. ",private sector corporations
Bilkent Holding,private sector corporations
Bioforce,private sector corporations
Biogen Idec,private sector corporations
Biomet Inc.,private sector corporations
Bloomberg,private sector corporations
BLU-MED Response Systems ,private sector corporations
BMI,private sector corporations
Boeing Company,private sector corporations
BOLHISPANIA,private sector corporations
Booz Allen Hamilton,private sector corporations
BorgWarner,private sector corporations
Bridgestone Group,private sector corporations
Bristol-Myers Squibb,private sector corporations
British Airways,private sector corporations
BUKKEHAVE,private sector corporations
Bundesanstalt für Materialforschung und - prüfung,private sector corporations
Burger King,private sector corporations
CAII - Creative Associates InterNational,private sector corporations
California Endowment,private sector corporations
Camp Dresser and McKee Incorporated,private sector corporations
Campbell Soup CO,private sector corporations
Canadian National Railway Company,private sector corporations
Carestream Health,private sector corporations
CARGOMA,private sector corporations
Carlson Wagonlit Travel Beheermaatschappij,private sector corporations
Carnival Corporations,private sector corporations
Casals and Associates,private sector corporations
Casio,private sector corporations
CCI Coin Co. InterNational,private sector corporations
Cedar Fund,private sector corporations
"Center for Emergency Aid and Rehabilitation, Inc.",private sector corporations
CEVA Logistics,private sector corporations
Chadbourne & Parke LLP,private sector corporations
Chapman Freeborn Airchartering,private sector corporations
Charles Schwab ,private sector corporations
CHASE OT,private sector corporations
Checci & Company,private sector corporations
Chubb Corporation,private sector corporations
"Chung Te Buddhist Association of NY, Inc.",private sector corporations
CICERO,private sector corporations
CIGNA,private sector corporations
Cogeco Cable,private sector corporations
Cognizant,private sector corporations
Coloplast A/S,private sector corporations
Comcast Corp,private sector corporations
Commission of Real Property Claims,private sector corporations
Compact AS,private sector corporations
ConAgra Foods,private sector corporations
Continental AG,private sector corporations
ConvaTec,private sector corporations
Corporacion Opcion Legal,private sector corporations
CPR Savers and First Aid Supply,private sector corporations
Crawford & Company,private sector corporations
Creative Association Inc.,private sector corporations
Credit Agricole,private sector corporations
Credit Suisse,private sector corporations
"Crocs, Inc.",private sector corporations
Cumberland Pharmaceuticals Inc,private sector corporations
DAC Aviation InterNational,private sector corporations
Daewoo,private sector corporations
Daiichi Sankyo,private sector corporations
Danish Powerlines,private sector corporations
Dannon,private sector corporations
Darden Restaurants,private sector corporations
Datong,private sector corporations
DCP-TV,private sector corporations
Delhaize America Inc,private sector corporations
DELL,private sector corporations
DentaQuest,private sector corporations
Desjardins,private sector corporations
Deutsche Telekom,private sector corporations
Development Associates Inc.,private sector corporations
Dewey & LeBoeuf LLP,private sector corporations
DF Young Inc.,private sector corporations
Diageo,private sector corporations
Dialog InterNational e.V.,private sector corporations
Digicel Aruba,private sector corporations
Dinsons (H. Sheikh Noor-ud-Dini & Sons),private sector corporations
Diplomat Freight Services,private sector corporations
Discover Financial Services,private sector corporations
DMR,private sector corporations
Doha Bank,private sector corporations
Dollar General Corporation,private sector corporations
Dow Chemical Corporation,private sector corporations
Dr Pepper Snapple Group ,private sector corporations
"Dr. Fresh, Inc",private sector corporations
Dun & Bradstreet,private sector corporations
Dunkin Brands,private sector corporations
DynCorp,private sector corporations
Eagle Global Logistics,private sector corporations
Eaton Corp,private sector corporations
Ecolab Inc.,private sector corporations
Eisai Co. Ltd.,private sector corporations
Electricite de France,private sector corporations
Eli Lilly ,private sector corporations
"EMCOR Group, Inc",private sector corporations
Enhanced Online News,private sector corporations
Equate Petrochemical,private sector corporations
Estonian Veterinary and Food Laboratory,private sector corporations
Eurest Personalrestauranter AS,private sector corporations
Ev. Zentralstelle e.V.,private sector corporations
Excelon Corporation,private sector corporations
Farmers Insurance,private sector corporations
Fiat Group,private sector corporations
Fifth Third Bank,private sector corporations
FIJIWater,private sector corporations
First Data Corporation,private sector corporations
Flowserve,private sector corporations
Foley Hoag LLP,private sector corporations
"FRAZIMA, S.A.",private sector corporations
Freightco,private sector corporations
FUJIFILM Holdings Corporation,private sector corporations
Fujitsu,private sector corporations
Genesis Software,private sector corporations
GenNX360,private sector corporations
"GeoLogistics Services, Inc.",private sector corporations
Gerdau Ameristeel,private sector corporations
Giant Food Stores,private sector corporations
"Gibson, Dunn & Crutcher ",private sector corporations
GIGnos (consulting company),private sector corporations
GMC Services,private sector corporations
Go Daddy,private sector corporations
Goddard Enterprises Limited,private sector corporations
Goldman Sachs Group ,private sector corporations
Goodrich Corporation,private sector corporations
Google,private sector corporations
"Goya Foods, Inc.",private sector corporations
Grass Technologies,private sector corporations
"Green Mountain Coffee Roasters, Inc.",private sector corporations
Greenshields Cowie,private sector corporations
Groupe La Colombe,private sector corporations
Grupo Pão de Açúcar,private sector corporations
Gyro AS,private sector corporations
Haitian Women of Miami,private sector corporations
Hanesbrands ,private sector corporations
Harland Clarke Holdings,private sector corporations
Harris Teeter,private sector corporations
Haven,private sector corporations
Hawaiian Electric Co.,private sector corporations
HBN,private sector corporations
Health Limited,private sector corporations
Health Net Inc.,private sector corporations
Hedwin Corporation,private sector corporations
Helping Hands,private sector corporations
Henry Schein Inc.,private sector corporations
Hess Corporation,private sector corporations
Hilina Enriched Food Processing Center PLC,private sector corporations
Hilton Worldwide,private sector corporations
"Hitachi America, Ltd.",private sector corporations
HNA Group,private sector corporations
Honeywell,private sector corporations
HRG Hogg Robinson Nordic AS,private sector corporations
Hrúz,private sector corporations
Hudson's Bay Company,private sector corporations
Hydration Technology Innovations,private sector corporations
Hy-Vee Inc.,private sector corporations
ICI Pakistan,private sector corporations
IDT Corporation,private sector corporations
Indus Resource Centre,private sector corporations
Infineon Technologies,private sector corporations
ING Group Disaster Relief Fund,private sector corporations
Inglesia Morava,private sector corporations
Innovasjon Norge,private sector corporations
Inprosula,private sector corporations
Integra LifeSciences Holdings Corporation,private sector corporations
Inter Press Service,private sector corporations
InterNational Medical Support Services,private sector corporations
International Procurement Agency,private sector corporations
InterNational Training Inc.,private sector corporations
"Interstate Products, Inc",private sector corporations
"IRIS KIM, Inc.",private sector corporations
J. Smith Lanier & Co.,private sector corporations
JC Penny,private sector corporations
JCB,private sector corporations
Jemael-InterNational,private sector corporations
JM Family Enterprises inc. and Southeast Toyota Distributors LLC,private sector corporations
"John S Connor, Inc",private sector corporations
Jordan Engineering Association,private sector corporations
Karda Systems,private sector corporations
Kellogg Corporation,private sector corporations
"Kinetic Concepts, Inc.",private sector corporations
Kinross,private sector corporations
Kirkland & Ellis LLP,private sector corporations
"Korean American Business Council of NY, Inc.",private sector corporations
Korean Broadcast Company,private sector corporations
Kubota Corporation,private sector corporations
Kuehne & Nagel,private sector corporations
Kyocera Corporation,private sector corporations
L.L. Bean,private sector corporations
Land O'Lakes,private sector corporations
Landistar Express America,private sector corporations
Landstar Express America,private sector corporations
LG Electronic Inc.,private sector corporations
Liggett Vector Brands Inc.,private sector corporations
Limited Brands,private sector corporations
Lipsey Water,private sector corporations
Lms Water Systems (France),private sector corporations
Logenix,private sector corporations
Lois Berger,private sector corporations
Louis Berger,private sector corporations
Louis Vutton,private sector corporations
Louisville Gas & Electric and Kentucky Utilities Co.,private sector corporations
Lowe's Companies Inc.,private sector corporations
Lubrizol,private sector corporations
M&T Bank,private sector corporations
MAB Consulting,private sector corporations
MAGE SOLAR,private sector corporations
Management Systems InterNational,private sector corporations
MANNET (consulting company),private sector corporations
Marathon Oil Company,private sector corporations
Massachusetts Mutual Life Insurance Company,private sector corporations
MassMutual Financial Group,private sector corporations
Matrix InterNational,private sector corporations
Mattel,private sector corporations
Maxim G Rochester and Leighton McKnight,private sector corporations
MAXIMUS,private sector corporations
Mayer Brown,private sector corporations
Mazda,private sector corporations
McAfee,private sector corporations
MEDECO,private sector corporations
Media21,private sector corporations
Menasha Corporation ,private sector corporations
Merck,private sector corporations
Merove-Pierre Et Associes,private sector corporations
Merrill Lynch ,private sector corporations
MetaCorp,private sector corporations
Midwest Canvas Corporation,private sector corporations
Migros,private sector corporations
Mitsubishi Electric,private sector corporations
Molson Coors Brewing Company,private sector corporations
Monsanto Co.,private sector corporations
Moody's,private sector corporations
Morgan Stanley,private sector corporations
Mosaic Company,private sector corporations
MSD-DK,private sector corporations
Mulrany InterNational,private sector corporations
Nathan Associates,private sector corporations
National Grid,private sector corporations
Natures Way,private sector corporations
NCA+partners,private sector corporations
NEC Corporation,private sector corporations
NEM Insurance Company,private sector corporations
NEPCom,private sector corporations
Nestle,private sector corporations
Nestle USA,private sector corporations
"NetSol Technologies, Inc",private sector corporations
News Corp.,private sector corporations
Nike,private sector corporations
Nintendo,private sector corporations
NIRAS,private sector corporations
Nissan Corporation,private sector corporations
Nokia,private sector corporations
Nomura Group,private sector corporations
Normeca AS,private sector corporations
Northern Trust Corporation,private sector corporations
Northrop Grumman Corp,private sector corporations
Northwest Woolen Mills,private sector corporations
Northwestern Mutual Corp.,private sector corporations
Novellus Systems,private sector corporations
NYSE Euronext,private sector corporations
Occidental Petroleum,private sector corporations
Office Depot,private sector corporations
Omega Plus,private sector corporations
OshKosh Corp.,private sector corporations
PACCAR Inc.,private sector corporations
Pact Inc.,private sector corporations
Pakistan Telecommunication Company LTD.,private sector corporations
Panalpina Airfreight Incorporated,private sector corporations
Pastoral Social,private sector corporations
Patton Boggs LLP ,private sector corporations
Paul Hastings,private sector corporations
Pentair,private sector corporations
Petroleos de Venezuela,private sector corporations
Pietrantoni Mendez & Alvarez LLP,private sector corporations
Pirelli & C. Societa per Azioni,private sector corporations
PokerStars,private sector corporations
Princess Cruises,private sector corporations
"Principal Financial Group Foundation, Inc",private sector corporations
"Pro Pac, Inc.",private sector corporations
PROMAN,private sector corporations
PROMARK,private sector corporations
Proximity Designs (formerly International Development Enterprises),private sector corporations
"Prudential Financial, Inc.",private sector corporations
Publix,private sector corporations
"QED Limited, LLC",private sector corporations
Qualcomm Inc.,private sector corporations
Radio SAWA,private sector corporations
Radisson SAS,private sector corporations
RAK Ceramics,private sector corporations
Random House,private sector corporations
Raygroup SAS,private sector corporations
Raytheon,private sector corporations
RBC,private sector corporations
RDN,private sector corporations
RESTART,private sector corporations
RHA,private sector corporations
Rite Aid,private sector corporations
Riverside Technologies Inc.,private sector corporations
Rockwell Collins,private sector corporations
ROFI Industrier AS,private sector corporations
Rogers Communications,private sector corporations
"Ross Stores, Inc.",private sector corporations
ROSSAIR,private sector corporations
Rothschild Estates,private sector corporations
Royal Bank of Canada,private sector corporations
Royal Caribbean InterNational,private sector corporations
SADEL,private sector corporations
Safeway Inc,private sector corporations
Sagric InteNational Pty Ltd,private sector corporations
Salama Medical Agency,private sector corporations
SCA Tissue,private sector corporations
Scanagri,private sector corporations
Schulte Roth & Zabel LLP,private sector corporations
Scottrade,private sector corporations
SES World Skies,private sector corporations
Sheraton Hotel,private sector corporations
Sherrit,private sector corporations
SHIFT,private sector corporations
"Shionogi & Co., Ltd",private sector corporations
Shionogi Pharma Inc.,private sector corporations
Shipman & Goodwin LLP,private sector corporations
Siemens Water Technologies,private sector corporations
SIF-France,private sector corporations
"Skadden, Arps, Slate, Meagher, & Flom LPP & Affiliates",private sector corporations
Skanska,private sector corporations
SkyLink,private sector corporations
Sol Inc.,private sector corporations
Sony,private sector corporations
Sony Online Entertainment,private sector corporations
Spa War,private sector corporations
Spansion Inc.,private sector corporations
Spark Energy,private sector corporations
Spedition TBSG Bremen,private sector corporations
Sprint Nextel,private sector corporations
SSA Marine,private sector corporations
Staples Inc.,private sector corporations
State Street Corporation,private sector corporations
Sterling Export Corp,private sector corporations
"Stiftelsen barn og krig, Children and War",private sector corporations
Stonepath Logistics,private sector corporations
Stop & Shop Supermarket Company,private sector corporations
Sud-Chemie AG,private sector corporations
"Summer Infant, Inc.",private sector corporations
Supply Chain Management System,private sector corporations
SWIFT - Society for Worldwide Interbank Financial Telecommunication,private sector corporations
"Swift Creative, Inc.",private sector corporations
SWIFT RONCO,private sector corporations
Symantec,private sector corporations
"TACODAPU, INC.",private sector corporations
Talawiet Organization for Development,private sector corporations
Tampico Beverages Inc.,private sector corporations
"TEC Equipment, Inc.",private sector corporations
Techno Plan,private sector corporations
Telecom for Basic Human Needs,private sector corporations
Telenor Pakistan,private sector corporations
TELUS,private sector corporations
Tenet Healthcare Corporation,private sector corporations
Terra Tech,private sector corporations
Tesco,private sector corporations
Tethyan Copper Company,private sector corporations
Teva Pharmaceutical Industries Ltd.,private sector corporations
The Clorox Company,private sector corporations
The Rendon Group,private sector corporations
Thue & Selvaag AS,private sector corporations
Tim Hortons Stores,private sector corporations
TJX Companies,private sector corporations
TNT,private sector corporations
Toro Company,private sector corporations
Toshiba Group,private sector corporations
Toyota Gilbratar,private sector corporations
Toys R Us,private sector corporations
Transat AT,private sector corporations
Transfair/Trans Group Express,private sector corporations
Trilogy InterNational Partners,private sector corporations
UBS,private sector corporations
Underwriters Laboratories,private sector corporations
Unilever,private sector corporations
UnitedHealth,private sector corporations
Univision,private sector corporations
Unum,private sector corporations
US Airways,private sector corporations
US Bancorp,private sector corporations
Valero Energy/Ultramar,private sector corporations
Vans,private sector corporations
Venable LLP,private sector corporations
Verein für Aufbauhilfe Tambanevana,private sector corporations
Visa,private sector corporations
Vision Hope,private sector corporations
Vitamin Shoppe,private sector corporations
VITOL,private sector corporations
Wakefern Food Corp. (ShopRite and PriceRite stores,private sector corporations
Walgreens,private sector corporations
Walmart Canada,private sector corporations
Walt Disney Corporation,private sector corporations
Wawa Inc.,private sector corporations
Webster Bank,private sector corporations
"Weil, Gotshal & Manges LLP",private sector corporations
"WellPoint, Inc.",private sector corporations
Weyerhaeuser,private sector corporations
WilmerHale,private sector corporations
Winston & Strawn LLP,private sector corporations
WISAG,private sector corporations
WTB InterNational Development,private sector corporations
Xstrata AG,private sector corporations
Yum Brands Inc,private sector corporations
"Zodiac of North America, Inc.",private sector corporations
DOB foundations,private sector corporations
Kuwait-Turk Bank,private sector corporations
International Federation of Red Cross and Red Crescent Societies,red cross
American Red Cross,red cross
British Red Cross,red cross
Danish Red Cross,red cross
Namibia Red Cross,red cross
Malawi Red Cross Society,red cross
International Committee of the Red Cross,red cross
Botswana Red Cross Society,red cross
Norwegian Red Cross,red cross
Andorran Red Cross,red cross
Japanese Red Cross Society,red cross
New Zealand Red Cross,red cross
Finnish Red Cross,red cross
Singapore Red Cross Society,red cross
Irish Red Cross Society,red cross
Red Crescent Society of the United Arab Emirates,red cross
Australian Red Cross,red cross
Red Cross Society of China,red cross
Estonia Red Cross,red cross
Netherlands Red Cross,red cross
Red Cross of Monaco,red cross
Swiss Red Cross,red cross
Taiwan Red Cross Society,red cross
Canadian Red Cross Society,red cross
Icelandic Red Cross,red cross
French Red Cross,red cross
German Red Cross,red cross
Spanish Red Cross,red cross
Belgian Red Cross,red cross
Moroccan Red Crescent,red cross
Austrian Red Cross,red cross
Cyprus Red Cross,red cross
Italian Red Cross,red cross
Republic of Korea National Red Cross,red cross
Malta Red Cross Society,red cross
Hungarian Red Cross,red cross
Zimbabwe Red Cross,red cross
Mexican Red Cross,red cross
Kuwait Red Crescent Society,red cross
Libya Red Crescent,red cross
Turkish Red Crescent Society,red cross
Tunisian Red Crescent,red cross
Saudi Arabian Red Crescent Society,red cross
Hellenic Red Cross,red cross
IFRC Disaster Relief Emergency Fund,red cross
Red Crescent Society of the Islamic Republic of Iran,red cross
Slovenian Red Cross,red cross
Chilean Red Cross,red cross
Egyptian Red Crescent Society,red cross
Thai Red Cross Society,red cross
Qatar Red Crescent Society,red cross
Red Cross of Viet Nam,red cross
Bahrain Red Crescent Society,red cross
Uganda Red Cross Society,red cross
Tanzania Red Cross National Society,red cross
Seychelles Red Cross Society,red cross
Mauritius Red Cross Society,red cross
Kenyan Red Cross Society,red cross
Ethiopian Red Cross Society,red cross
Djibouti Red Crescent Society,Red Cross
Slovak Red Cross,red cross
Burundi Red Cross,red cross
Red Cross of Serbia,red cross
Croatian Red Cross,red cross
Malaysia Red Crescent Society,red cross
Liechtenstein Red Cross,red cross
Luxembourg Red Cross,red cross
Barbados Red Cross Society,red cross
Cook Islands Red Cross Society,red cross
Suriname Red Cross,red cross
Albanian Red Cross,red cross
Bangladesh Red Crescent Society,red cross
Belize Red Cross Society,red cross
Bolivian Red Cross,red cross
Red Cross Society of Bosnia and Herzegovina,red cross
Brazilian Red Cross,red cross
Colombian Red Cross Society,red cross
Ecuadorian Red Cross,red cross
Salvadorean Red Cross Society,red cross
Honduran Red Cross,red cross
Latvian Red Cross,red cross
"Red Cross of The Former Yugoslav Republic of Macedonia, The",red cross
Lithuanian Red Cross Society,red cross
Micronesia Red Cross,red cross
Papua New Guinea Red Cross Society,red cross
Paraguayan Red Cross,red cross
Portuguese Red Cross,red cross
Romanian Red Cross,red cross
South African Red Cross Society,red cross
Fiji Red Cross Society,red cross
Palau Red Cross Society,red cross
Ukrainian Red Cross Society,red cross
Jamaica Red Cross,red cross
Uruguayan Red Cross,red cross
Algerian Red Crescent,red cross
Bahamas Red Cross Society,red cross
Argentine Red Cross,red cross
Czech Red Cross,red cross
Guyana Red Cross Society,red cross
Jordan National Red Crescent Society,red cross
Lebanese Red Cross,red cross
Polish Red Cross,red cross
Russian Red Cross Society,red cross
Samoa Red Cross Society,red cross
Trinidad and Tobago Red Cross Society,red cross
Vanuatu Red Cross Society,red cross
Venezuelan Red Cross,red cross
Pakistan Red Crescent Society,red cross
Cambodian Red Cross,red cross
Nepal Red Cross Society,red cross
Palestine Red Crescent Society,red cross
Belarusian Red Cross,red cross
Sri Lanka Red Cross Society,red cross
Red Crescent Society of Kyrgyzstan,red cross
Bulgarian Red Cross,red cross
Kuwaiti Society for Relief,Red Cross
Afghan Red Crescent,red cross
Afghan Red Crescent Society,red cross
Algerian Red Crescent Society,red cross
Angola Red Cross,red cross
Argentina Red Cross,red cross
Armenian Red Cross Society,red cross
