Recipient.Organization,deliverychannels
Dow Chemical Corporation,Other
Dr Pepper Snapple Group ,Other
"Dr. Fresh, Inc",Other
Dun & Bradstreet,Other
Dunkin Brands,Other
DuPont,Other
Dutch Postcode Lottery,Other
DynCorp,Other
Eastman Kodak Charitable Trust,Other
Eaton Corp,Other
EC/UNDP Consortium,Other
ECCRD,Other
Ecolab Inc.,Other
Eisai Co. Ltd.,Other
El Ruhama for Development and Humanitarian Aid,Other
Electricite de France,Other
Eli Lilly ,Other
EMC Corporation,Other
"EMCOR Group, Inc",Other
Emergency Action Uganda,Other
Emergency Life Support for Civilian War Victims,Other
Emergency Management Unit,Other
Empress Shoken Fund,NGOs and CSOs
ENDESA Group,NGOs and CSOs
Enhanced Online News,Other
EO metterdaad,NGOs and CSOs
EPRO,Other
Equate Petrochemical,Other
Ericsson,Other
Estonian Veterinary and Food Laboratory,Other
Ethiopian Orthodox Church,NGOs and CSOs
ETHZ/SED/CRAAG,Other
Evangelical Devolpment Programme,NGOs and CSOs
Exactmobile (South Africa),Other
Excelon Corporation,Other
ExxonMobil,Other
Family Charitable Organisation,NGOs and CSOs
Family Health InterNational,NGOs and CSOs
FAR/IRC,Other
Farmer Life Development Agency,Other
Farmers Insurance,Other
Fazilia Trust Pakistan,Other
Federation InterNationale de Football Association (FIFA),NGOs and CSOs
FedEx,Other
Fiat Group,Other
FIDCON,NGOs and CSOs
Fifth Third Bank,Other
FIJIWater,Other
Finca,Other
First Data Corporation,Other
First National Bank of Namibia,Other
Flanders Cooperation ,Other
Floresta Ayiti [Plant With Purpose],NGOs and CSOs
Flowserve,Other
Foresters,NGOs and CSOs
Foro Femenino Ma Maeztu,Other
Foundation of the United for Relief and Adiding Development ,Other
Fray Rene Giroux Mission,Other
Freeport-McMoRan Copper & Gold Inc,Other
FRT,Other
Fuel Relief Fund ,Other
FUJIFILM Holdings Corporation,Other
Fujitsu,Other
Fund for the Good Living in Muslim Countires,Other
FundaciÛn AMEPBO ,Other
G.havanbedrijf Antwerpen,Other
Gap Inc.,Other
GAVI Alliance,Other
GEA Society,NGOs and CSOs
General Electric,Other
General Secretariat of Awkaf,Other
GenNX360,Other
Gerdau Ameristeel,Other
German Mission Herat,NGOs and CSOs
GESA -  Gesundheitshilfe Afghanistan e.V,Other
Giant Food Stores,Other
"Gibson, Dunn & Crutcher ",Other
Give2Asia,NGOs and CSOs
GlaxoSmithKline,Other
Global Food Crisis Fund,Other
Global Links,Other
Global Recruitment Fund,Other
Global Thematic Partners,NGOs and CSOs
GMC Services,Other
Go Daddy,Other
Goddard Enterprises Limited,Other
Golden Heart Fund,Other
Goldman Sachs Group ,Other
Goodrich Corporation,Other
Google,Other
"Goya Foods, Inc.",Other
Grass Technologies,Other
"Green Mountain Coffee Roasters, Inc.",Other
Greenshields Cowie,Other
Grupo P„o de AÁ˙car,Other
HA + SHA / IOM,Other
Haitian Women of Miami,Other
Hakima,Other
Hanesbrands ,Other
Harland Clarke Holdings,Other
Harris Teeter,Other
HARRODS GROUP,Other
Hartford Financial Services Group,Other
Haven,Other
Hawaiian Electric Co.,Other
Health and Environment Development Society ,Other
Health Net Inc.,Other
Healthworkers Community ,NGOs and CSOs
H-E-B,Other
Heilsarmee,NGOs and CSOs
Helping Hand for Relief & Development,Other
Helping Hands,Other
HEMCO,Other
Henry Schein Inc.,Other
Hess Corporation,Other
Hilina Enriched Food Processing Center PLC,Other
Hilton Worldwide,Other
"Hitachi America, Ltd.",Other
HNA Group,Other
Honda,Other
Honeywell,Other
Hospital Corporation of America,Other
HSBC,Other
HSBC Bank Middle East Limited,Other
Hudson's Bay Company,Other
Hydration Technology Innovations,Other
Hyundai Motor Company,Other
Hy-Vee Inc.,Other
ICASE,NGOs and CSOs
ICI Pakistan,Other
ICMPD/IOM,Other
IDDEALES,NGOs and CSOs
IMA,Other
INDONESIA-PALESTINE FRIENDSHIP INITIATIVE,Other
Indus Resource Centre,Other
Infineon Technologies,Other
InfoAsAid,NGOs and CSOs
ING Group Disaster Relief Fund,Other
Initiative Development,NGOs and CSOs
Initiative Developpement,NGOs and CSOs
Institute of Water and Environment,NGOs and CSOs
Instituto de Directores de Mocambique,NGOs and CSOs
Instituto Dominicano de Desarrollo Integral ,NGOs and CSOs
Integra LifeSciences Holdings Corporation,Other
Intel,Other
Intergovernmental Organization,Other
InterNational Air Transport Association,Other
InterNational Criminal Police Organization - INTERPOL,NGOs and CSOs
InterNational Federation of Journalist,NGOs and CSOs
InterNational Paper,Other
InterNational Planned Parenthood Federation Western Hemisphere Region ,NGOs and CSOs
InterNational Relief Solutions LLC,Other
InterNational Volley-Ball Federation,NGOs and CSOs
"Interstate Products, Inc",Other
IRA Fund,Other
"IRIS KIM, Inc.",Other
ISLAMIC HERITAGE SOCIETY,Other
ISLAMIC SHURA COUNCIL OF MICHIGAN,NGOs and CSOs
ITT Corporation,Other
J. Smith Lanier & Co.,Other
Japanese Kindergarten Association,Other
Japanese Society of Georgia,NGOs and CSOs
JASMAR,NGOs and CSOs
JC Penny,Other
JCB,Other
Jefferies Group Inc,Other
JERSEY OVERSEAS AID,Other
JM Family Enterprises inc. and Southeast Toyota Distributors LLC,Other
Johnson & Johnson,Other
Johor Community Development Committee for Women and Family Development ,Other
Joint Military Commission,Other
Jones Lang LaSalle,Other
JSI,Other
Juhaina for Industries,Other
Jungbu Annual Conference of the KMC,Other
Kaiser Permanente,Other
Karda Systems,Other
KCI,Other
Kellogg Corporation,Other
Kerk in Actie - Netherlands,Other
Kids in Distressed Situations,NGOs and CSOs
Kim Seung-Jung,NGOs and CSOs
"Kinetic Concepts, Inc.",Other
Kinross,Other
Kirkland & Ellis LLP,Other
Kleenheat Gas,Other
Kohl's Department Stores,Other
"Korea State Council, Lions Clubs InterNational",Other
"Korean American Business Council of NY, Inc.",Other
Korean Broadcast Company,Other
Korean-American Association,NGOs and CSOs
Kosovo Force (NATO)/Civil-Military Co-operation,Other
Kubota Corporation,Other
Kuwait Joint Relief Committee,NGOs and CSOs
Kuwaiti Patients Helping Fund,NGOs and CSOs
Kyocera Corporation,Other
L.L. Bean,Other
Lambi Fund of Haiti,Other
Landistar Express America,Other
LG Electronic Inc.,Other
Liberia Reconstruction Trust Fund,Other
Liberia WASH Consortium,Other
Life With Dignity,NGOs and CSOs
Liggett Vector Brands Inc.,Other
Lihir Gold Limited,Other
Limited Brands,Other
Lipsey Water,Other
Lockheed Martin,Other
Lois Berger,Other
Louis Vutton,Other
Louisville Gas & Electric and Kentucky Utilities Co.,Other
Lowe's Companies Inc.,Other
LSQC,Other
Lubrizol,Other
Lupin,Other
M&T Bank,Other
M. J. Murdock Charitable Trust,Other
M.A.C. AIDS Fund,Other
Mag. Raheb,Other
MAGE SOLAR,Other
MAI,Other
Manulife Financial Corporation,Other
Marathon Oil Company,Other
Massachusetts Mutual Life Insurance Company,Other
MassMutual Financial Group,Other
Mattel,Other
Maxim G Rochester and Leighton McKnight,Other
MAXIMUS,Other
Mayer Brown,Other
Mazda,Other
McAfee,Other
McDonald's Corporation,Other
McKesson Corporation,Other
MDC / TMAC,Other
Media21,Other
Medina,Other
Medishare,NGOs and CSOs
Menasha Corporation ,Other
MENTOR-Malaria Emergency Technical and Operational Response (Johns Hopkins Univ.),Other
Merck & Co. Inc.,Other
Merrill Lynch ,Other
MetaCorp,Other
MfAS,Other
Microsoft,Other
Migros,Other
Mine Action Programme for Afghanistan,Other
Ministry of Foreign Affairs,Other
MIRC Corporate,Other
Mitsubishi Electric,Other
"Mitsui USA, Inc.",Other
MoAAH/FAO,Other
Molson Coors Brewing Company,Other
"Molycorp, Inc.",Other
MoneyGram InterNational,Other
Monsanto Co.,Other
Moody's,Other
Morgan Stanley,Other
Morija,Other
Mosaic Company,Other
Mothers of Chechnya,NGOs and CSOs
Movitel,Other
MRRD/UNICEF,Other
MRRD/UNOPS,Other
Mubadiroon Organisation,NGOs and CSOs
Muhammadiyah,NGOs and CSOs
Multilateral Agencies,Other
Multiple Partners,Other
National Bank of Canada,Other
National Basketball Association,NGOs and CSOs
National Commission for Human Development,NGOs and CSOs
National Committee for Demining and Rehabilitation,Other
National Committee for Disaster Management,Other
National Council of Churches of Kenya,NGOs and CSOs
National Football League,NGOs and CSOs
National Grid,Other
National Rural Support Programme,Other
NEC Corporation,Other
NEM Insurance Company,Other
Nestle,Other
Nestle USA,Other
"NetSol Technologies, Inc",Other
New York Life Insurance Company,Other
New York Yankees,NGOs and CSOs
News Corp.,Other
Nextel Peru,Other
NGOs; Red Cross (details not yet provided) ,Other
Nike,Other
Nikon,Other
Nile Mission,Other
NiÒos de la Tierra,NGOs and CSOs
Nintendo,Other
Nissan Corporation,Other
NMIAD,Other
No channel specified,Other
Nokia,Other
Nomads Development and Environmental Conservation,Other
NOMECO,Other
Nomura Group,Other
Non Violent Peace Force Sri Lanka ,Other
Norsk PEN,NGOs and CSOs
Northern Trust Corporation,Other
Northrop Grumman Corp,Other
Northwestern Mutual Corp.,Other
Norwegian Tamils Health Organisation,NGOs and CSOs
Novartis,Other
Novellus Systems,Other
Novo Nordisk,Other
Nukepills,Other
NYSE Euronext,Other
Occidental Petroleum,Other
Office Depot,Other
Office for Intellectual Freedom ,Other
OIC Aid Committee for the Child Victims of Tsunami,Other
Oman Charitable Organisation,Other
Omidyar Fund,NGOs and CSOs
OneBeacon Charitable Trust,Other
Operation Helping Hand of Tampa,NGOs and CSOs
Operations Team,Other
Organisation de la confÈrence islamique ,NGOs and CSOs
Organisation of Islamic Cooperation,NGOs and CSOs
Orthodox Church in America,NGOs and CSOs
OshKosh Corp.,Other
Oslosenteret for fred og menneskerettigheter,Other
Other income,Other
Ottawa Convention Sponsorship Programme ,Other
PACCAR Inc.,Other
"PADCO, WWCIS, ASI",Other
Pakistan Association  in Dubai,NGOs and CSOs
Pakistan Telecommunication Company LTD.,Other
Palestinian Farmers Union,Other
Palestinian Peace Coalition ,Other
Panasonic,Other
Patton Boggs LLP ,Other
Paul Hastings,Other
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,Other
Pema Medical Charity,NGOs and CSOs
Pentair,Other
Periodic Review  - TCG ,NGOs and CSOs
Perry Ellis InterNational,Other
Petits FrËres et Soeurs,NGOs and CSOs
Petroleos de Venezuela,Other
Pew Charitable Trusts ,Other
Pfizer,Other
Philadelphia Insurance Companies,Other
Philani Maswati Organization,NGOs and CSOs
Pietrantoni Mendez & Alvarez LLP,Other
Pirelli & C. Societa per Azioni,Other
PokerStars,Other
Politidirektoratet,Other
Posko Atambua,Other
PotashCorp,Other
Presbyterian Disaster Assistance,NGOs and CSOs
PriceWaterhouseCoopers,Other
Princess Cruises,Other
"Principal Financial Group Foundation, Inc",Other
Private (individuals & organisations),NGOs and CSOs
Procter & Gamble Inc.,Other
Programme d'IntÈgration et de DÈveloppement du Peuple pygmÈe au Kiwu ,Other
Programme for Emergency Education and Reconstruction ,Other
"Prudential Financial, Inc.",Other
PTT Public Company Limited,Other
Publix,Other
Pyoe Pin,Other
Qualcomm Inc.,Other
"QVC, Inc.",Other
"Raad, Liv",Other
"Raftostiftelsen, prosjekt",Other
Raggio di Luce ,Other
Rainwater Association of Somalia,Other
RAK Ceramics,Other
Random House,Other
Raygroup SAS,Other
Raytheon,Other
RBC,Other
Religiosas de Jesus-Maria,NGOs and CSOs
Religiosas Franciscanas Mision,NGOs and CSOs
Religiosas Hermanas Terciarias,NGOs and CSOs
RESTART,Other
Reunion,Other
Risk and Insurance Management Society,NGOs and CSOs
Rissho Koseikai,NGOs and CSOs
Rite Aid,Other
RMS Foundation,Other
Rockwell Collins,Other
Rogers Communications,Other
ROLEX,Other
"Ross Stores, Inc.",Other
Rothschild Estates,Other
Royal Bank of Canada,Other
Royal Caribbean InterNational,Other
RTI,Other
Rural Development Initiative,NGOs and CSOs
Rural Development Project,NGOs and CSOs
Safeway Inc,Other
SAIH - Studentenes og Akademikernes Internasjonale Hjelpefond,NGOs and CSOs
Samsung Group,Other
Sant''Egidio,Other
Saudi Public Campaign for Lebanon and Palestine,Other
SCA Tissue,Other
Schering-Plough Corporation,Other
Schulte Roth & Zabel LLP,Other
SCOR Group,Other
Scotiabank,Other
Scottrade,Other
SECONRED,Other
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region ,Other
Seobu Annual Conference of the KMC,Other
SERVICE plus GMBH,Other
SES World Skies,Other
Seylan Bank Limited,Other
Share our Strength,NGOs and CSOs
Sharukhi Rehabilitation Project ,Other
Shell Nigeria,Other
Shell Oil Company,Other
Sheraton Hotel,Other
Shinnyo-en,NGOs and CSOs
Shinnyo-en ,NGOs and CSOs
"Shionogi & Co., Ltd",Other
Shionogi Pharma Inc.,Other
Shipman & Goodwin LLP,Other
Sibro,Other
Siemens AG,Other
Siemens Water Technologies,Other
SIF-France,Other
"Skadden, Arps, Slate, Meagher, & Flom LPP & Affiliates",Other
Skanska,Other
Social Economical Environmental Developers ,Other
Society for Sustainable Development,Other
Sol Inc.,Other
S¯lvberget,Other
Sony,Other
Sony Online Entertainment,Other
South American Football Confederation (CONMEBOL),NGOs and CSOs
South Sudan Law Society ,NGOs and CSOs
Spa War,Other
Spansion Inc.,Other
Spark Energy,Other
Sphene InterNational Ltd,Other
Sprint Nextel,Other
SSA,Other
ST. ANDREWS SOCIETY,NGOs and CSOs
St. Damien Hospital,Other
Standard Chartered Bank,Other
Staples Inc.,Other
State Street Corporation,Other
Stiftelsen SOS Barnelandsbyer,Other
Stop & Shop Supermarket Company,Other
Strengthening Participatory Organization,NGOs and CSOs
Sudan Council of Churches,NGOs and CSOs
Sud-Chemie AG,Other
"Summer Infant, Inc.",Other
Sun Life Financial Inc.,Other
Sundry Donors,Other
Sungi,NGOs and CSOs
Sutter Health,NGOs and CSOs
Symantec,Other
SYRIA CAMPAIGN ,Other
Syrian Arab Popular Committee,Other
T. Kuroyanagi,NGOs and CSOs
"TACODAPU, INC.",Other
Taiwan Rotary,NGOs and CSOs
Tampico Beverages Inc.,Other
Target,Other
Tasa Meng,Other
TD Bank,Other
"TEC Equipment, Inc.",Other
Telenor Pakistan,Other
TELUS,Other
Tenet Healthcare Corporation,Other
Tesco,Other
Tethyan Copper Company,Other
Teva Pharmaceutical Industries Ltd.,Other
Thardeep Rural Development Programme,NGOs and CSOs
The Alliance for InterNational Medical Action,NGOs and CSOs
The Clorox Company,Other
The Evangelical Alliance Relief,NGOs and CSOs
The Federation of Korean Industries,Other
The Jewish Federation of Metropolitan Chicago,NGOs and CSOs
Thrivent Financial for Lutherans,NGOs and CSOs
Tim Hortons Stores,Other
TJX Companies,Other
TNT,Other
Toro Company,Other
T¯rrlandskoordineringsgruppen ,Other
Toshiba Group,Other
TOTAL,Other
Toyota Motor Corporation,Other
Toys R Us,Other
Transat AT,Other
"Travian Games, Germany",Other
Treatment and Rehabilitation Centre,NGOs and CSOs
Trilogy InterNational Partners,Other
Trust & Legacies,NGOs and CSOs
UBS,Other
UCODEP__298,Other
UN Agencies and NGOs (details not yet provided),Other
UN Agencies and Red Cross (details not yet provided),Other
UN Agencies and Red Cross (details not yet provided) ,Other
"UN Agencies, NGOs and Red Cross (details not yet provided)",Other
Unallocated Pledges,Other
Underwriters Laboratories,Other
Unilever,Other
Union Des Organisations Syrienne de Secours Medicaux,Other
Union Nationale des Associations Diocesaines de Secours et Developpement,Other
Union of Relief Organizations ñ Lebanon,NGOs and CSOs
Uniqlo,Other
United Methodist Church,NGOs and CSOs
United Technologies Corporation,Other
UnitedHealth,Other
Univision,Other
Unspecified,Other
Unum,Other
US Airways,Other
US Bancorp,Other
USAR,NGOs and CSOs
US-China Business Council,Other
Valero Energy/Ultramar,Other
Vans,Other
Various (details not yet provided),Other
Various Donors ,Other
Various Donors (details not yet provided),Other
Various Donors (private),Other
Various Recipients (details not yet provided),Other
VÂrt land,Other
Venable LLP,Other
VIC,Other
Visa,Other
Vision Hope,Other
VITALITE PLUS,Other
Vitamin Shoppe,Other
VITOL,Other
Volunteer Corpes-Greek Firemen Replanters,Other
Waatasemu Charity Association,Other
Wakefern Food Corp. (ShopRite and PriceRite stores,Other
Walgreens,Other
Wal-Mart,Other
Walmart Canada,Other
Walt Disney Corporation,Other
WAM,Other
Waqf Alghanem and Othman mosques,NGOs and CSOs
Water and Sanitation Consortium,Other
Wawa Inc.,Other
Webster Bank,Other
WEFA HUMANITARIAN RELIEF ORGANIZATION,Other
"Weil, Gotshal & Manges LLP",Other
"WellPoint, Inc.",Other
Wells Fargo & CO,Other
Wereld-missiehulp,NGOs and CSOs
Weyerhaeuser,Other
WFP and NGO Partners,Other
WFP/SHA,Other
William Gallagher Associates,NGOs and CSOs
WilmerHale,Other
Winston & Strawn LLP,Other
Women Organization for Development & Capacity Building,NGOs and CSOs
WORLD ASSEMBLY OF MUSLIMS YOUTH,Other
World Mission Society Church of God,NGOs and CSOs
Xstrata AG,Other
Yayasan Ananda Marga Indonesia,Other
Young Africans Development Action,NGOs and CSOs
Yum Brands Inc,Other
ZACF,NGOs and CSOs
Zanfha Initiative,NGOs and CSOs
African Rainbow Minerals,Other
Canadian Imperial Bank of Commerce,Other
"Cera Products, Inc",Other
Coca-Cola Foundation,Other
EcoBank,Other
Larry Page's Family Foundation,NGOs and CSOs
Liberia Petroleum Company,Other
Merck,Other
Mercury International,Other
National Oil Company of Liberia,Other
Seplat Petroleum Development Company Plc,Other
Sierra Minerals Holdings/Vimetco,Other
SociÈtÈ Anglogold Ashanti de GuinÈe,Other
VOLVO,Other
NGOs | Red Cross Organizations | UN Agencys,Other
NGOs | UN Agencys,Other
NGOs | UN Agencys | Red Cross Organizations,Other
UN Agencys | NGOs,Other
UN Agencys | NGOs | Red Cross Organizations,Other
Not specified,Other
Al Birr Charity and social services association,Other
UN Agencies | Red Cross Organizations,Other
Partners Turkey | World Vision  Netherlands,Other
Partners Turkey | Save the Children,Other
Programme d'IntÈgration et de DÈveloppement du Peuple pygmÈe au Kiwu,Other
Somalia ERF (until 2012),UN Multi
South Sudan ERF (until 2014),UN Multi
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),Public Sector
Regional Developmetn Protection Programme - Horn of Africa,Other multi
Nigeria Humanitarian Fund,UN Multi
M,Other
Regional Development Protection Programme - Horn of Africa,Other multi
Ethiopia,Public Sector
Sudan,Public Sector
Sri Lanka,Public Sector
Azerbaijan,Public Sector
Zambia,Public Sector
Eritrea,Public Sector
Algeria,Public Sector
Venezuela,Public Sector
South Africa,Public Sector
Syrian Arab Republic,Public Sector
Jordan,Public Sector
Djibouti,Public Sector
Deutsche Gesellschaft f¸r Internationale Zusammenarbeit,Public Sector
Indonesia,Public Sector
Armenia,Public Sector
Viet Nam,Public Sector
Moldova,Public Sector
Ukraine,Public Sector
Russian Federation,Public Sector
Danish Assistance to the Self-Reliance Strategy,Public Sector
Albania,Public Sector
Swiss Development Cooperation/Swiss Humanitarian Aid,Public Sector
Bundesanstalt Technisches Hilfswerk,Public Sector
Technisches Hilfswerk (THW),Public Sector
Serbia and Montenegro,Public Sector
Uganda,Public Sector
MS Denmark,Public Sector
Bangladesh,Public Sector
Philippines,Public Sector
Tajikistan,Public Sector
Afghanistan,Public Sector
Kenya,Public Sector
Mongolia,Public Sector
Sweden,Public Sector
Georgia,Public Sector
Pakistan,Public Sector
Madagascar,Public Sector
Mozambique,Public Sector
Belize,Public Sector
Cambodia,Public Sector
"Korea, Democratic People's Republic of",Public Sector
Lao (People's Democratic Republic),Public Sector
India,Public Sector
Iran,Public Sector
Nepal,Public Sector
China,Public Sector
Zimbabwe,Public Sector
Chile,Public Sector
Romania,Public Sector
Hungary,Public Sector
Colombia,Public Sector
Botswana,Public Sector
European Commission,Public Sector
Canada,Public Sector
Yemen,Public Sector
Chad,Public Sector
Egypt,Public Sector
Germany,Public Sector
Swiss Disaster Relief Unit,Public Sector
Cuba,Public Sector
Integrationsrat,Public Sector
Saudi Arabia (Kingdom of),Public Sector
Switzerland,Public Sector
Disaster Prevention and Preparedness Commission Ethiopia,Public Sector
"Palestinian territory, occupied",Public Sector
Burundi,Public Sector
Maltese Aid Agency,Public Sector
Peru,Public Sector
Uzbekistan,Public Sector
Burkina Faso,Public Sector
Dutch International Aid,Public Sector
Lebanon,Public Sector
ILR,Public Sector
Brazil,Public Sector
Joint Saudi Committee for Kosovo Relief/Skopje,Public Sector
Australia,Public Sector
"Congo, Democratic Republic of",Public Sector
"Macedonia, Former Yugoslav Republic of",Public Sector
Sierra Leone,Public Sector
Ghana,Public Sector
Bolivia,Public Sector
El Salvador,Public Sector
Malawi,Public Sector
Vanuatu,Public Sector
Thailand,Public Sector
Spain,Public Sector
Swedish Civil Contingencies Agency (MSB),Public Sector
Poland,Public Sector
Ecuador,Public Sector
Mali,Public Sector
Cook Islands,Public Sector
Czech Republic,Public Sector
Papua New Guinea,Public Sector
Peace Corps,Public Sector
Humanitarian Aid Commission,NGOs and CSOs
Mauritania,Public Sector
Myanmar,Public Sector
Slovakia,Public Sector
Rwanda,Public Sector
Lesotho Ministry of Agriculture and CARE Lesotho,Public Sector
United States Agency for International Development,Public Sector
New South Wales Relief Fund,Public Sector
Niger,Public Sector
NinÙs del Cusco,NGOs and CSOs
Department of Settlement and Regional Infrastructure (Kimpraswil),Public Sector
Bidan Kesehatan Department of Health Indonesia,Public Sector
Danidas Health Sector Programme Support,Public Sector
Nicaragua,Public Sector
BUCO - CRONGD,Public Sector
Emergencies Unit for Ethiopia,Public Sector
Mauritius,Public Sector
The Emergency Management Agency of Greater Copenhagen,Public Sector
"Korea, Republic of",Public Sector
Morocco,Public Sector
Costa Rica,Public Sector
Jamaica,Public Sector
Inter Cooperation,Public Sector
Tonga,Public Sector
Senegal,Public Sector
"Comite de crise ""Nyiragongo 2002""",Public Sector
Nigeria,Public Sector
Turkey,Public Sector
"Micronesia,  Federated States of",Public Sector
Iraq,Public Sector
Icelandic Crisis Response Unit,Public Sector
Stability Pact,Public Sector
Japan Self Defense Forces,Public Sector
Gambia,Public Sector
Liberia,Public Sector
Gaza Zakat Committee,Public Sector
Namibia,Public Sector
"Congo, Republic of",Public Sector
DDPS,Public Sector
BMVg,Public Sector
Croatia,Public Sector
Haiti,Public Sector
Fiji,Public Sector
Mexico,Public Sector
Kyrgyzstan,Public Sector
Argentina,Public Sector
Portugal,Public Sector
Dominican Republic,Public Sector
Angola,Public Sector
El Obeid,Public Sector
Danish Ethiopian Mission,Public Sector
Norwegian Search and Rescue,Public Sector
Grenada,Public Sector
Panama,Public Sector
European Commission's Humanitarian Aid and Civil Protection Department,Public Sector
Bahamas,Public Sector
Centre for the Coordination of Natural Disaster Prevention in Central America,Other multi
Paraguay,Public Sector
Office of Preparedness for Disasters and Emergencies,Public Sector
Japan,Public Sector
Maldives,Public Sector
Malaysia,Public Sector
Guyana,Public Sector
DKKV - German Committee for Disaster Reduction,Public Sector
Timor Leste,Public Sector
Belarus,Public Sector
Benin,Public Sector
Guatemala,Public Sector
Bosnia & Herzegovina,Public Sector
Central African Republic,Public Sector
Uruguay,Public Sector
European Union Border Assistance Mission,Public Sector
Lesotho,Public Sector
U.S. Committee for Refugees and Immigrants,Public Sector
Bulgaria,Public Sector
DZI - German Central Institute for Social Issues,Public Sector
Seychelles,Public Sector
Honduras,Public Sector
National Emergency Commission of Costa Rica,Public Sector
Deutsches Komitee fur Katastrophenvorsorge e.V.,Public Sector
Instituto Colombiano de Bienestar Familial,Public Sector
European Agency for Reconstruction,Public Sector
Serbia,Public Sector
MIC EU Civil Protection,Public Sector
Ministry of Rural Rehabilitation and Development Afghanistan,Public Sector
Cote d'Ivoire,Public Sector
Suriname,Public Sector
France,Public Sector
Antigua and Barbuda,Public Sector
Barbados,Public Sector
Bhutan,Public Sector
Gabon,Public Sector
Kazakhstan,Public Sector
Palau,Public Sector
Samoa,Public Sector
Saint Lucia,Public Sector
Swaziland,Public Sector
Trinidad and Tobago,Public Sector
Norway,Public Sector
PLANAT,Public Sector
Coordinadora Nacional para la Reduccion de Desastres,Public Sector
Oman,Public Sector
Chars Livelihoods Programme,Public Sector
Estonian Public Service Academy,Public Sector
Dominica,Public Sector
Greece,Public Sector
Togo,Public Sector
Forsvarets forskningsinstitutt,Public Sector
Norfund,Public Sector
Belgian First Aid and Support Team,Public Sector
Italian Agency for Food Aid (AGEA),Public Sector
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",Public Sector
Deutscher Entwicklungsdienst,Public Sector
Danish Fellowship Centre,Public Sector
Cameroon,Public Sector
EU Special Representative,Public Sector
PEGASE,Public Sector
Statens Forurensningstilsyn,Public Sector
Tunisia,Public Sector
Libya,Public Sector
"Leadership, Management and Sustainability Program",Public Sector
New Zealand,Public Sector
Promoting Recovery in Zimbabwe,Public Sector
Buco Cotonou,Public Sector
Tuvalu,Public Sector
King Salman Humanitarian Aid and Relief Center,Public Sector
National Space Agency of Ukraine,Public Sector
France Cooperation Internationale,Public Sector
Montenegro,Public Sector
CoopÈration Humanitaire Luxembourg,Public Sector
Meteorologisk Institutt,Public Sector
Republic of South Sudan,Public Sector
Access to Quality Education Program,Public Sector
National Primary Health Care Development Agency,Public Sector
Tanzania,Public Sector
Programa de ReducciÛn del Riesgo de Desastres,Public Sector
Saint Vincent and the Grenadines,Public Sector
Centers for Disease Control,Public Sector
CAIPA,Other multi
National Oceanic and Atmospheric Administration,Public Sector
Japan International Cooperation Agency,Public Sector
Peace Corps Organization,Public Sector
Ministry of Education and Higher Education,Public Sector
Jordanian National Commission for Women,Public Sector
U.S. Forest Service,Public Sector
Rural Water and Sanitation Support Agency,Public Sector
KFW Development,Public Sector
Italian Agency for Development Cooperation,Public Sector
Italy,Public Sector
Madad Organization,NGOs and CSOs
Solomon Islands,Public Sector
Comoros,Public Sector
Yemen Higher Relief Committee,Public Sector
Unitad Nacional para la Gestion del Riesgo de Desastres,Public Sector
Somalia,Public Sector
Saint Kitts and Nevis,Public Sector
Solidarity Organization for Rehabilitation of Afghanistan,Public Sector
Abu Dhabi Tourism Authority,Public Sector
AFD,Public Sector
Afghan Ministry of Planning,Public Sector
Agencia EspaÒola de CooperaciÛn Internacional,Public Sector
Andorra,Public Sector
Army Corps of Engineers,Public Sector
Australian Community Assistance Scheme,Public Sector
Austria,Public Sector
Austrian Development Agency,Public Sector
Austrian Embassy/Armenia,Public Sector
Bahrain,Public Sector
BAM - Federal Institute for Materials Research and Testing,Public Sector
BAPPENAS - Indonesia National Development Planning Agency,Public Sector
Belgian Air Force,Public Sector
Belgium,Public Sector
Bilateral (to affected government),Public Sector
BLD - Barne- og likestillingsdepartementet,Public Sector
British Embassy in Khartoum (Sudan),Public Sector
British Virgin Islands,Public Sector
Brunei Darussalam,Public Sector
BUCO - Bureau de la CoopÈration Suisse,Public Sector
Bundesministerium der Verteidigung,Public Sector
BWG/Changjang Water Resources Commission,Public Sector
Cameroun,Public Sector
Canadian Funds for Local Initiatives,Public Sector
Canadian InterNational Development Agency/InterNational Humanitarian Assistance,Public Sector
Cascos Blancos - Argentina,Public Sector
Catalan Agency for Development Cooperation,Public Sector
Chad ,Public Sector
"CHMI, CTU/EPFL (Czech Hydrometeorological Institute)",Public Sector
City of Ingolstadt,Public Sector
City of Konstanz,Public Sector
City of Munich (Germany),Public Sector
ComitÈ InterministÈriel pour líAide Alimentaire,Public Sector
CoopÈration Technique Belge,Public Sector
"Council of A Coruna, Spain",Public Sector
"Council of Huelva, Spain (thru FAMSI)",Public Sector
Croatian Mine Action Center,Public Sector
Cyprus,Public Sector
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",Public Sector
Czech Republic Ministry of Foreign Affairs,Public Sector
DANIDA,Public Sector
Danidas Health Sector Programme Support ,Public Sector
Danish Emergency Management Agency,Public Sector
Denmark,Public Sector
