Recipient.Organization,recipientcodename
Casals and Associates,private sector corporations
CEVA Logistics,private sector corporations
CICERO,private sector corporations
Matrix International,private sector corporations
Agility,private sector corporations
Northwest Woolen Mills,private sector corporations
Toyota Gilbratar,private sector corporations
Sterling Export Corp,private sector corporations
Bioforce,private sector corporations
Aramex International,private sector corporations
Radisson SAS,private sector corporations
HRG Hogg Robinson Nordic AS,private sector corporations
Supply Chain Management System,private sector corporations
PROMARK,private sector corporations
MSD-DK,private sector corporations
Merove-Pierre Et Associes,private sector corporations
"QED Limited, LLC",private sector corporations
Foley Hoag LLP,private sector corporations
MAB Consulting,private sector corporations
Inter Press Service,private sector corporations
SHIFT,private sector corporations
Omega Plus,private sector corporations
Natures Way,private sector corporations
Health Limited,private sector corporations
Land O'Lakes,private sector corporations
Merrill Lynch,private sector corporations
Gyro AS,private sector corporations
"Center for Emergency Aid and Rehabilitation, Inc.",private sector corporations
PROMAN,private sector corporations
"Stiftelsen barn og krig, Children and War",private sector corporations
International Procurement Agency,private sector corporations
Jordan Engineering Association,private sector corporations
Mulrany International,private sector corporations
Airlink,private sector corporations
Yasra Food Company,private sector corporations
City Center Co.,private sector corporations
Mahavir Overseas,private sector corporations
"Precise Kit Promotions, Inc.",private sector corporations
Estonian Science Park Tehnopol,private sector corporations
Cavalier Logistics,private sector corporations
NRS Relief,private sector corporations
Priority Worldwide Services,private sector corporations
La FederaciÛn Nacional de Comerciantes,private sector corporations
Miyamoto International,private sector corporations
Ledmark Industries LLC,private sector corporations
JAS Forwarding Worldwide Inc.,private sector corporations
Lynden Air Cargo,private sector corporations
Butyl Products Ltd Group,private sector corporations
SGS,private sector corporations
Grupo Sofonias (Switzerland),private sector corporations
AIR CHARTER SERVICE,private sector corporations
Intertek Group plc,private sector corporations
Nahrain International Company,private sector corporations
Scoop Group,private sector corporations
Pastoral Social,private sector corporations
JTS-Korea,private sector corporations
Reach out Foundation for Human Development,private sector corporations
RDN,private sector corporations
Techno Plan,private sector corporations
Inprosula,private sector corporations
RHA,private sector corporations
Basic Awareness Rehabilitation & Networking,private sector corporations
CARGOMA,private sector corporations
SADEL,private sector corporations
3Com,private sector corporations
3M,private sector corporations
Abbott Laboratories,private sector corporations
Abdul Latif Jameel Group,private sector corporations
Abu Dhabi National Energy Company,private sector corporations
Accenture,private sector corporations
Actavis Group,private sector corporations
Actelion,private sector corporations
Adobe,private sector corporations
Advantest Corporation,private sector corporations
Advent Software,private sector corporations
Aflac,private sector corporations
AIG Disaster Relief Fund,private sector corporations
Air Products,private sector corporations
Airamid Health Management,private sector corporations
AK Steel,private sector corporations
Akin Gump Strauss Hauer & Feld LLP,private sector corporations
Alcon Laboratories,private sector corporations
ALDI,private sector corporations
AllianceBernstein Holding L.P.,private sector corporations
Allianz Life Insurance Company of North America ,private sector corporations
Altria Group,private sector corporations
America Continental 2000,private sector corporations
American Egg Board,private sector corporations
American Express Company,private sector corporations
"Ameriprise Financial, Inc.",private sector corporations
Amgen,private sector corporations
Amway,private sector corporations
ANA Airlines,private sector corporations
ANGLO AMERICAN PLC,private sector corporations
"Anheuser-Busch Companies, Inc.",private sector corporations
AP Moller Maersk Group,private sector corporations
"Applied Materials, Inc.",private sector corporations
Aramark,private sector corporations
Archer Daniels Midland Company,private sector corporations
Arcos Dorados B.V.,private sector corporations
Argos Cement Company,private sector corporations
Armstrong,private sector corporations
Associates in Rural Development,private sector corporations
Astellas,private sector corporations
Astoria Federal Savings,private sector corporations
AstraZeneca,private sector corporations
Avon,private sector corporations
AXA Canada,private sector corporations
AXA Group,private sector corporations
B2Gold,private sector corporations
Bacardi Limited,private sector corporations
Banesco Bank Venezuela,private sector corporations
Bank of America Corporation,private sector corporations
Bank of Palestine,private sector corporations
Bank of West,private sector corporations
Barclays Ghana,private sector corporations
BASF,private sector corporations
Bayer,private sector corporations
BCIE,private sector corporations
"Becton, Dickson and Company",private sector corporations
BEPROD,private sector corporations
Bertelsmann AG,private sector corporations
"Best Buy Co., Inc. ",private sector corporations
Bilkent Holding,private sector corporations
Biogen Idec,private sector corporations
Biomet Inc.,private sector corporations
Bloomberg,private sector corporations
BLU-MED Response Systems ,private sector corporations
BNPP,private sector corporations
Boeing Company,private sector corporations
BOLHISPANIA,private sector corporations
Booz Allen Hamilton,private sector corporations
BorgWarner,private sector corporations
Bridgestone Group,private sector corporations
Bristol-Myers Squibb,private sector corporations
British Airways,private sector corporations
Brother Industries Ltd.,private sector corporations
Bundesanstalt f¸r Materialforschung und - pr¸fung,private sector corporations
Burger King,private sector corporations
Burma Austria Allianz,private sector corporations
Business Roundtable,private sector corporations
C & S Wholesale Grocers,private sector corporations
California Endowment,private sector corporations
Campbell Soup CO,private sector corporations
Canadian National Railway Company,private sector corporations
Canon Group,private sector corporations
Carestream Health,private sector corporations
Cargill,private sector corporations
Carlson Wagonlit Travel Beheermaatschappij,private sector corporations
Carnival Corporations,private sector corporations
Casio,private sector corporations
"Caterpillar, Inc.",private sector corporations
CCI Coin Co. InterNational,private sector corporations
Chadbourne & Parke LLP,private sector corporations
Charles Schwab ,private sector corporations
CHASE OT,private sector corporations
Chevron Corporation,private sector corporations
Chevron Texaco,private sector corporations
Chubb Corporation,private sector corporations
"Chung Te Buddhist Association of NY, Inc.",private sector corporations
CIGNA,private sector corporations
Citi,private sector corporations
Citigroup,private sector corporations
Coca-Cola Company,private sector corporations
Cogeco Cable,private sector corporations
Cognizant,private sector corporations
Coin Co. InterNational,private sector corporations
Coloplast A/S,private sector corporations
Comcast Corp,private sector corporations
ConAgra Foods,private sector corporations
ConocoPhillips,private sector corporations
Continental AG,private sector corporations
ConvaTec,private sector corporations
Corporacion Opcion Legal,private sector corporations
CPR Savers and First Aid Supply,private sector corporations
Crawford & Company,private sector corporations
Credit Agricole,private sector corporations
Credit Suisse,private sector corporations
"Crocs, Inc.",private sector corporations
Cumberland Pharmaceuticals Inc,private sector corporations
Daewoo,private sector corporations
Daiichi Sankyo,private sector corporations
"Daiki, Inc.",private sector corporations
Daimler,private sector corporations
Dannon,private sector corporations
Darden Restaurants,private sector corporations
DCH Auto Group,private sector corporations
Delhaize America Inc,private sector corporations
DELL,private sector corporations
Deloitte and Touche,private sector corporations
DentaQuest,private sector corporations
Desjardins,private sector corporations
Deutsche Bank AG,private sector corporations
Deutsche Telekom,private sector corporations
Dewey & LeBoeuf LLP,private sector corporations
Diageo,private sector corporations
Digicel Aruba,private sector corporations
Digicel Group,private sector corporations
Dinsons (H. Sheikh Noor-ud-Dini & Sons),private sector corporations
Discover Financial Services,private sector corporations
Doha Bank,private sector corporations
Dollar General Corporation,private sector corporations
Dow Chemical Corporation,private sector corporations
Dr Pepper Snapple Group ,private sector corporations
"Dr. Fresh, Inc",private sector corporations
Dun & Bradstreet,private sector corporations
Dunkin Brands,private sector corporations
DuPont,private sector corporations
DynCorp,private sector corporations
Eastman Kodak Charitable Trust,private sector corporations
Eaton Corp,private sector corporations
Ecolab Inc.,private sector corporations
Eisai Co. Ltd.,private sector corporations
Electricite de France,private sector corporations
Eli Lilly ,private sector corporations
EMC Corporation,private sector corporations
"EMCOR Group, Inc",private sector corporations
Enhanced Online News,private sector corporations
Equate Petrochemical,private sector corporations
Ericsson,private sector corporations
Estonian Veterinary and Food Laboratory,private sector corporations
Exactmobile (South Africa),private sector corporations
Excelon Corporation,private sector corporations
ExxonMobil,private sector corporations
Farmers Insurance,private sector corporations
FedEx,private sector corporations
Fiat Group,private sector corporations
Fifth Third Bank,private sector corporations
FIJIWater,private sector corporations
First Data Corporation,private sector corporations
First National Bank of Namibia,private sector corporations
Flowserve,private sector corporations
Freeport-McMoRan Copper & Gold Inc,private sector corporations
FUJIFILM Holdings Corporation,private sector corporations
Fujitsu,private sector corporations
Gap Inc.,private sector corporations
General Electric,private sector corporations
GenNX360,private sector corporations
Gerdau Ameristeel,private sector corporations
Giant Food Stores,private sector corporations
"Gibson, Dunn & Crutcher ",private sector corporations
GlaxoSmithKline,private sector corporations
GMC Services,private sector corporations
Go Daddy,private sector corporations
Goddard Enterprises Limited,private sector corporations
Goldman Sachs Group ,private sector corporations
Goodrich Corporation,private sector corporations
Google,private sector corporations
"Goya Foods, Inc.",private sector corporations
Grass Technologies,private sector corporations
"Green Mountain Coffee Roasters, Inc.",private sector corporations
Greenshields Cowie,private sector corporations
Grupo P„o de AÁ˙car,private sector corporations
Haitian Women of Miami,private sector corporations
Hanesbrands ,private sector corporations
Harland Clarke Holdings,private sector corporations
Harris Teeter,private sector corporations
HARRODS GROUP,private sector corporations
Hartford Financial Services Group,private sector corporations
Haven,private sector corporations
Hawaiian Electric Co.,private sector corporations
Health Net Inc.,private sector corporations
H-E-B,private sector corporations
Helping Hands,private sector corporations
HEMCO,private sector corporations
Henry Schein Inc.,private sector corporations
Hess Corporation,private sector corporations
Hilina Enriched Food Processing Center PLC,private sector corporations
Hilton Worldwide,private sector corporations
"Hitachi America, Ltd.",private sector corporations
HNA Group,private sector corporations
Honda,private sector corporations
Honeywell,private sector corporations
Hospital Corporation of America,private sector corporations
HSBC,private sector corporations
HSBC Bank Middle East Limited,private sector corporations
Hudson's Bay Company,private sector corporations
Hydration Technology Innovations,private sector corporations
Hyundai Motor Company,private sector corporations
Hy-Vee Inc.,private sector corporations
ICI Pakistan,private sector corporations
Indus Resource Centre,private sector corporations
Infineon Technologies,private sector corporations
ING Group Disaster Relief Fund,private sector corporations
Integra LifeSciences Holdings Corporation,private sector corporations
Intel,private sector corporations
InterNational Air Transport Association,private sector corporations
InterNational Paper,private sector corporations
InterNational Relief Solutions LLC,private sector corporations
"Interstate Products, Inc",private sector corporations
"IRIS KIM, Inc.",private sector corporations
ITT Corporation,private sector corporations
J. Smith Lanier & Co.,private sector corporations
JC Penny,private sector corporations
JCB,private sector corporations
Jefferies Group Inc,private sector corporations
JM Family Enterprises inc. and Southeast Toyota Distributors LLC,private sector corporations
Johnson & Johnson,private sector corporations
Jones Lang LaSalle,private sector corporations
Juhaina for Industries,private sector corporations
Kaiser Permanente,private sector corporations
Karda Systems,private sector corporations
KCI,private sector corporations
Kellogg Corporation,private sector corporations
"Kinetic Concepts, Inc.",private sector corporations
Kinross,private sector corporations
Kirkland & Ellis LLP,private sector corporations
Kleenheat Gas,private sector corporations
Kohl's Department Stores,private sector corporations
"Korean American Business Council of NY, Inc.",private sector corporations
Korean Broadcast Company,private sector corporations
Kubota Corporation,private sector corporations
Kyocera Corporation,private sector corporations
L.L. Bean,private sector corporations
Landistar Express America,private sector corporations
LG Electronic Inc.,private sector corporations
Liggett Vector Brands Inc.,private sector corporations
Lihir Gold Limited,private sector corporations
Limited Brands,private sector corporations
Lipsey Water,private sector corporations
Lockheed Martin,private sector corporations
Lois Berger,private sector corporations
Louis Vutton,private sector corporations
Louisville Gas & Electric and Kentucky Utilities Co.,private sector corporations
Lowe's Companies Inc.,private sector corporations
Lubrizol,private sector corporations
Lupin,private sector corporations
M&T Bank,private sector corporations
MAGE SOLAR,private sector corporations
Manulife Financial Corporation,private sector corporations
Marathon Oil Company,private sector corporations
Massachusetts Mutual Life Insurance Company,private sector corporations
MassMutual Financial Group,private sector corporations
Mattel,private sector corporations
Maxim G Rochester and Leighton McKnight,private sector corporations
MAXIMUS,private sector corporations
Mayer Brown,private sector corporations
Mazda,private sector corporations
McAfee,private sector corporations
McDonald's Corporation,private sector corporations
McKesson Corporation,private sector corporations
Media21,private sector corporations
Menasha Corporation ,private sector corporations
Merck & Co. Inc.,private sector corporations
Merrill Lynch ,private sector corporations
MetaCorp,private sector corporations
Microsoft,private sector corporations
Migros,private sector corporations
MIRC Corporate,private sector corporations
Mitsubishi Electric,private sector corporations
"Mitsui USA, Inc.",private sector corporations
Molson Coors Brewing Company,private sector corporations
"Molycorp, Inc.",private sector corporations
MoneyGram InterNational,private sector corporations
Monsanto Co.,private sector corporations
Moody's,private sector corporations
Morgan Stanley,private sector corporations
Mosaic Company,private sector corporations
Movitel,private sector corporations
National Bank of Canada,private sector corporations
National Grid,private sector corporations
NEC Corporation,private sector corporations
NEM Insurance Company,private sector corporations
Nestle,private sector corporations
Nestle USA,private sector corporations
"NetSol Technologies, Inc",private sector corporations
New York Life Insurance Company,private sector corporations
News Corp.,private sector corporations
Nextel Peru,private sector corporations
Nike,private sector corporations
Nikon,private sector corporations
Nintendo,private sector corporations
Nissan Corporation,private sector corporations
Nokia,private sector corporations
NOMECO,private sector corporations
Nomura Group,private sector corporations
Northern Trust Corporation,private sector corporations
Northrop Grumman Corp,private sector corporations
Northwestern Mutual Corp.,private sector corporations
Novartis,private sector corporations
Novellus Systems,private sector corporations
Novo Nordisk,private sector corporations
Nukepills,private sector corporations
NYSE Euronext,private sector corporations
Occidental Petroleum,private sector corporations
Office Depot,private sector corporations
OshKosh Corp.,private sector corporations
PACCAR Inc.,private sector corporations
Pakistan Telecommunication Company LTD.,private sector corporations
Panasonic,private sector corporations
Patton Boggs LLP ,private sector corporations
Paul Hastings,private sector corporations
Pentair,private sector corporations
Perry Ellis InterNational,private sector corporations
Petroleos de Venezuela,private sector corporations
Pfizer,private sector corporations
Philadelphia Insurance Companies,private sector corporations
Pietrantoni Mendez & Alvarez LLP,private sector corporations
Pirelli & C. Societa per Azioni,private sector corporations
PokerStars,private sector corporations
PotashCorp,private sector corporations
PriceWaterhouseCoopers,private sector corporations
Princess Cruises,private sector corporations
"Principal Financial Group Foundation, Inc",private sector corporations
Procter & Gamble Inc.,private sector corporations
"Prudential Financial, Inc.",private sector corporations
PTT Public Company Limited,private sector corporations
Publix,private sector corporations
Qualcomm Inc.,private sector corporations
"QVC, Inc.",private sector corporations
RAK Ceramics,private sector corporations
Random House,private sector corporations
Raygroup SAS,private sector corporations
Raytheon,private sector corporations
RBC,private sector corporations
RESTART,private sector corporations
Rite Aid,private sector corporations
RMS Foundation,private sector corporations
Rockwell Collins,private sector corporations
Rogers Communications,private sector corporations
ROLEX,private sector corporations
"Ross Stores, Inc.",private sector corporations
Rothschild Estates,private sector corporations
Royal Bank of Canada,private sector corporations
Royal Caribbean InterNational,private sector corporations
Safeway Inc,private sector corporations
Samsung Group,private sector corporations
SCA Tissue,private sector corporations
Schering-Plough Corporation,private sector corporations
Schulte Roth & Zabel LLP,private sector corporations
SCOR Group,private sector corporations
Scotiabank,private sector corporations
Scottrade,private sector corporations
SERVICE plus GMBH,private sector corporations
SES World Skies,private sector corporations
Seylan Bank Limited,private sector corporations
Shell Nigeria,private sector corporations
Shell Oil Company,private sector corporations
Sheraton Hotel,private sector corporations
"Shionogi & Co., Ltd",private sector corporations
Shionogi Pharma Inc.,private sector corporations
Shipman & Goodwin LLP,private sector corporations
Siemens AG,private sector corporations
Siemens Water Technologies,private sector corporations
SIF-France,private sector corporations
"Skadden, Arps, Slate, Meagher, & Flom LPP & Affiliates",private sector corporations
Skanska,private sector corporations
Sol Inc.,private sector corporations
Sony,private sector corporations
Sony Online Entertainment,private sector corporations
Spa War,private sector corporations
Spansion Inc.,private sector corporations
Spark Energy,private sector corporations
Sphene InterNational Ltd,private sector corporations
Sprint Nextel,private sector corporations
Standard Chartered Bank,private sector corporations
Staples Inc.,private sector corporations
State Street Corporation,private sector corporations
Stop & Shop Supermarket Company,private sector corporations
Sud-Chemie AG,private sector corporations
"Summer Infant, Inc.",private sector corporations
Sun Life Financial Inc.,private sector corporations
Symantec,private sector corporations
"TACODAPU, INC.",private sector corporations
Tampico Beverages Inc.,private sector corporations
Target,private sector corporations
Tasa Meng,private sector corporations
TD Bank,private sector corporations
"TEC Equipment, Inc.",private sector corporations
Telenor Pakistan,private sector corporations
TELUS,private sector corporations
Tenet Healthcare Corporation,private sector corporations
Tesco,private sector corporations
Tethyan Copper Company,private sector corporations
Teva Pharmaceutical Industries Ltd.,private sector corporations
The Clorox Company,private sector corporations
The Federation of Korean Industries,private sector corporations
Tim Hortons Stores,private sector corporations
TJX Companies,private sector corporations
TNT,private sector corporations
Toro Company,private sector corporations
Toshiba Group,private sector corporations
Toyota Motor Corporation,private sector corporations
Toys R Us,private sector corporations
Transat AT,private sector corporations
"Travian Games, Germany",private sector corporations
Trilogy InterNational Partners,private sector corporations
UBS,private sector corporations
Underwriters Laboratories,private sector corporations
Unilever,private sector corporations
Uniqlo,private sector corporations
United Technologies Corporation,private sector corporations
UnitedHealth,private sector corporations
Univision,private sector corporations
Unum,private sector corporations
US Airways,private sector corporations
US Bancorp,private sector corporations
US-China Business Council,private sector corporations
Valero Energy/Ultramar,private sector corporations
Vans,private sector corporations
VÂrt land,private sector corporations
Venable LLP,private sector corporations
Visa,private sector corporations
Vision Hope,private sector corporations
Vitamin Shoppe,private sector corporations
VITOL,private sector corporations
Wakefern Food Corp. (ShopRite and PriceRite stores,private sector corporations
Walgreens,private sector corporations
Wal-Mart,private sector corporations
Walmart Canada,private sector corporations
Walt Disney Corporation,private sector corporations
Wawa Inc.,private sector corporations
Webster Bank,private sector corporations
"Weil, Gotshal & Manges LLP",private sector corporations
"WellPoint, Inc.",private sector corporations
Wells Fargo & CO,private sector corporations
Weyerhaeuser,private sector corporations
WilmerHale,private sector corporations
Winston & Strawn LLP,private sector corporations
Xstrata AG,private sector corporations
Yum Brands Inc,private sector corporations
African Rainbow Minerals,private sector corporations
Canadian Imperial Bank of Commerce,private sector corporations
"Cera Products, Inc",private sector corporations
Coca-Cola Foundation,private sector corporations
EcoBank,private sector corporations
Liberia Petroleum Company,private sector corporations
Merck,private sector corporations
Mercury International,private sector corporations
National Oil Company of Liberia,private sector corporations
Seplat Petroleum Development Company Plc,private sector corporations
Sierra Minerals Holdings/Vimetco,private sector corporations
SociÈtÈ Anglogold Ashanti de GuinÈe,private sector corporations
VOLVO,private sector corporations
International Committee of the Red Cross,red cross
International Federation of Red Cross and Red Crescent Societies,red cross
Swedish Red Cross,red cross
Canadian Red Cross Society,red cross
British Red Cross,red cross
Netherlands Red Cross,red cross
German Red Cross,red cross
Republic of Korea National Red Cross,red cross
Danish Red Cross,red cross
Finnish Red Cross,red cross
Belgian Red Cross,red cross
Swiss Red Cross,red cross
American Red Cross,red cross
Turkish Red Crescent Society,red cross
Irish Red Cross Society,red cross
Indonesian Red Crescent Society,red cross
Austrian Red Cross,red cross
Belize Red Cross Society,red cross
Red Cross of Viet Nam,red cross
Australian Red Cross,red cross
Nicaraguan Red Cross,red cross
Pakistan Red Crescent Society,red cross
Norwegian Red Cross,red cross
Chilean Red Cross,red cross
Mongolian Red Cross,red cross
Seychelles Red Cross Society,red cross
Mozambique Red Cross Society,red cross
Egyptian Red Crescent Society,red cross
Philippine Red Cross,red cross
Spanish Red Cross,red cross
Nigerian Red Cross Society,red cross
South African Red Cross Society,red cross
Red Cross Society of Georgia,red cross
French Red Cross,red cross
Namibia Red Cross,red cross
Malawi Red Cross Society,red cross
Thai Red Cross Society,red cross
Salvadorean Red Cross Society,red cross
Japanese Red Cross Society,red cross
New Zealand Red Cross,red cross
Red Cross Society of China,red cross
Polish Red Cross,red cross
Indian Red Cross Society,red cross
Peruvian Red Cross,red cross
Algerian Red Crescent,red cross
Uganda Red Cross Society,red cross
Red Cross Society of Bosnia and Herzegovina,red cross
Saudi Arabian Red Crescent Society,red cross
Albanian Red Cross,red cross
Rwandan Red Cross,red cross
Czech Red Cross,red cross
Russian Red Cross Society,red cross
Mexican Red Cross,red cross
Moroccan Red Crescent,red cross
Bolivian Red Cross,red cross
Jamaica Red Cross,red cross
Cambodian Red Cross,red cross
Lebanese Red Cross,red cross
Kuwait Red Crescent Society,red cross
Icelandic Red Cross,red cross
Yemen Red Crescent Society,red cross
Sudanese Red Crescent,red cross
Red Crescent Society of the United Arab Emirates,red cross
Ecuadorian Red Cross,red cross
Angola Red Cross,red cross
Fiji Red Cross Society,red cross
Kenyan Red Cross Society,red cross
Sri Lanka Red Cross Society,red cross
Hungarian Red Cross,red cross
Red Crescent Society of the Islamic Republic of Iran,red cross
Red Crescent Society of Azerbaijan,red cross
Kazakh Red Crescent Society,red cross
Burkinabe Red Cross Society,red cross
Iraqi Red Crescent Society,red cross
Haitian National Red Cross Society,red cross
Singapore Red Cross Society,red cross
Italian Red Cross,red cross
Hellenic Red Cross,red cross
Malagasy Red Cross Society,red cross
Red Crescent Society of Tajikistan,red cross
Tunisian Red Crescent,red cross
Slovak Red Cross,red cross
Guyana Red Cross Society,red cross
Luxembourg Red Cross,red cross
Mauritanian Red Crescent,red cross
Jordan National Red Crescent Society,red cross
Ukrainian Red Cross Society,red cross
Liberian Red Cross Society,red cross
Belarusian Red Cross,red cross
Afghan Red Crescent,red cross
Mali Red Cross,red cross
Red Cross Society of Niger,red cross
Red Cross of Chad,red cross
Colombian Red Cross Society,red cross
Red Cross of Monaco,red cross
Romanian Red Cross,red cross
Portuguese Red Cross,red cross
Cyprus Red Cross,red cross
Venezuelan Red Cross,red cross
Uruguayan Red Cross,red cross
Bulgarian Red Cross,red cross
Liechtenstein Red Cross,red cross
Syrian Arab Red Crescent,red cross
Armenian Red Cross Society,red cross
Palestine Red Crescent Society,red cross
Ethiopian Red Cross Society,red cross
Suriname Red Cross,red cross
Red Cross Society of Panama,red cross
KESI,red cross
Burundi Red Cross,red cross
Red Cross Society of the Democratic People's Republic of Korea,red cross
Bangladesh Red Crescent Society,red cross
Myanmar Red Cross Society,red cross
Red Crescent Society of Kyrgyzstan,red cross
Djibouti Red Crescent Society,Red Cross
Nepal Red Cross Society,red cross
Togolese Red Cross,red cross
Papua New Guinea Red Cross Society,red cross
Lao Red Cross,red cross
Costa Rican Red Cross,red cross
Solomon Islands Red Cross,red cross
Samoa Red Cross Society,red cross
Tonga Red Cross Society,red cross
Red Cross of Cape Verde,red cross
Taiwan Red Cross Society,red cross
Tanzania Red Cross National Society,red cross
Vanuatu Red Cross Society,red cross
Croatian Red Cross,red cross
Qatar Red Crescent Society,red cross
Palau Red Cross Society,red cross
IFRC Disaster Relief Emergency Fund,red cross
Red Cross of Montenegro,red cross
Red Cross of the Democratic Republic of the Congo,red cross
Honduran Red Cross,red cross
Libya Red Crescent,red cross
Estonia Red Cross,red cross
Slovenian Red Cross,red cross
Cameroon Red Cross Society,Red Cross
Latvian Red Cross,red cross
Red Cross of Serbia,red cross
"Comoros Red Crescent, The",red cross
Dominica Red Cross Society,red cross
Bahamas Red Cross Society,red cross
Macedonian Red Cross,red cross
ICRC MoveAbility Foundation (former ICRC Special Fund for the Disabled),red cross
Antigua and Barbuda Red Cross Society,red cross
Saint Kitts and Nevis Red Cross Society,red cross
Kuwaiti Society for Relief,Red Cross
Somali Red Crescent Society,red cross
Malta Red Cross Society,red cross
Zimbabwe Red Cross,red cross
Cook Islands Red Cross Society,red cross
Central African Red Cross Society,red cross
Croix Rouge RDC,red cross
Guatemalan Red Cross,red cross
Croix Rouge Katanga,red cross
Qatar Red Crescent Society | Rebuild Iraq Recruitment Program,red cross
Afghan Red Crescent Society,red cross
Algerian Red Crescent Society,red cross
Andorran Red Cross,red cross
Argentina Red Cross,red cross
Argentine Red Cross,red cross
Australia Red Cross,red cross
Azerbaijan Red Crescent,red cross
Bahamas Red Cross,red cross
Bahrain Red Crescent,red cross
Bahrain Red Crescent Society,red cross
Barbados Red Cross,red cross
Barbados Red Cross Society,red cross
Belarus Red Cross,red cross
Belgium Red Cross,red cross
Belize Red Cross,red cross
Bolivia Red Cross,red cross
Bosnian Red Crescent Society,red cross
Botswana Red Cross,red cross
Botswana Red Cross Society,red cross
Brazil Red Cross,red cross
Brazilian Red Cross,red cross
British Red Cross Society,red cross
Bulgaria Red Cross,red cross
Burkina Faso Red Cross,red cross
Cambodia Red Cross,red cross
Cape Verde Red Cross,red cross
Central African Red Cross,red cross
Chad Red Cross,red cross
Chile Red Cross,red cross
China Red Cross Society,red cross
Colombia Red Cross,red cross
Cook Islands Red Cross,red cross
Croatia Red Cross,red cross
Cruz Roja Costariricense,red cross
CuraÁao Red Cross,red cross
Czech Rep. Red Cross,red cross
Djibouti Red Cross,red cross
"DRK, ICRC, IFRC (details not yet provided)",red cross
Ecuador Red Cross,red cross
Egyptian Red Crescent,red cross
El Salvador Red Cross,red cross
Ethiopian Red Cross,red cross
Fiji Red Cross,red cross
Finland Red Cross,red cross
Finnish Red Cross/Cambodian Red Cross,red cross
Flanders InterNational Red Cross Society,red cross
Georgian Red Cross,red cross
Greece Red Cross,red cross
Guatemalan Red Cross ,red cross
Guyana Red Cross,red cross
Haiti Red Cross,red cross
Honduras Red Cross,red cross
Hong Kong Red Cross,red cross
Hungary Red Cross,red cross
Iceland Red Cross,red cross
India Red Cross,red cross
Indonesia Red Crescent,red cross
Iran Red Crescent,red cross
Ireland Red Cross,red cross
Italy Red Cross,red cross
Japanese Red Cross,red cross
Jordanian Red Crescent,red cross
Kazakhstan Red Crescent,red cross
Kenya Red Cross,red cross
Korea Red Cross (DPR of) ,red cross
Korea Red Cross (Republic of) ,red cross
Kyrgyzstan Red Crescent,red cross
Latvia Red Cross,red cross
Liberian Red Cross,red cross
Lithuania Red Cross,red cross
Lithuanian Red Cross Society,red cross
"Macedonia, FYR Red Cross",red cross
Madagascar Red Cross,red cross
Malagasy Red Cross,red cross
Malawi Red Cross,red cross
Malaysia Red Crescent Society,red cross
Malaysia Red Cross,red cross
Maldive Red Cross,red cross
Malta Red Cross,red cross
Mauritius Red Cross,red cross
Mauritius Red Cross Society,red cross
Mexico Red Cross,red cross
Micronesia Red Cross,red cross
Monaco Red Cross,red cross
Mongolia Red Cross,red cross
Morocco Red Crescent,red cross
Mozambique Red Cross,red cross
Myanmar Red Cross,red cross
Namibian Red Cross,red cross
Nicaragua Red Cross,red cross
Niger Red Cross,red cross
Nigeria Red Cross,red cross
Norway Red Cross,red cross
Organization of Arab Red Crescent and Red Cross Society,red cross
Pakistan Red Crescent,red cross
Palau Red Cross,red cross
Palestinian Red Crescent Society,red cross
Panamanian Red Cross,red cross
Papua New Guinea Red Cross,red cross
Paraguay Red Cross,red cross
Paraguayan Red Cross,red cross
Peru Red Cross,red cross
Philippine Red Cross ,red cross
Philippines National Red Cross ,red cross
Poland Red Cross,red cross
Portugal Red Cross,red cross
Qatar Red Crescent,red cross
Red Crescent Society of Djibouti,red cross
Red Crescent Society of Uzbekistan,red cross
Red Cross,red cross
"Red Cross of The Former Yugoslav Republic of Macedonia, The",red cross
Red Cross Society of the Republic of Moldova,red cross
RKV - Flemish Red Cross,red cross
Romania Red Cross,red cross
Russia Red Cross,red cross
Rwanda Red Cross ,red cross
Rwandan Red Cross ,red cross
Samoa Red Cross,red cross
Saudi Red Crescent ,red cross
Serbia and Montenegro Red Cross,red cross
Seychelles Red Cross,red cross
Singapore Red Cross,red cross
South African Red Cross,red cross
Sri Lanka Red Cross,red cross
Sudan Red Crescent,red cross
Sudan Red Crescent Society,red cross
Swedish Red Cross ,red cross
Syrian Red Crescent Society,red cross
Tajikistan Red Crescent Society,red cross
Tanzanian Red Cross,red cross
Trinidad & Tobago Red Cross,red cross
Trinidad and Tobago Red Cross Society,red cross
Tunisia Red Cross,red cross
Turkey Red Crescent,red cross
Uganda Red Cross,red cross
Ukraine Red Cross,red cross
United Arab Emirates Red Crescent,red cross
United Kingdom Red Cross ,red cross
Uruguay Red Cross,red cross
Vanuatu Red Cross,red cross
Venezuela Red Cross,red cross
Viet Nam Red Cross,red cross
Zambia Red Cross Society,red cross
International Fund for Agricultural Development,UN Multi
Office of the High Commissioner for Human Rights,UN Multi
United Nations Children's Fund,UN Multi
United Nations Mine Action Service,UN Multi
United Nations Voluntary Trust Fund on Mine Action,UN Multi
United Nations Mission in Kosovo,UN Multi
World Food Programme,UN Multi
International Organization for Migration,UN Multi
United Nations Development Programme,UN Multi
United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN Multi
United Nations Human Settlements Programme (UN-HABITAT),UN Multi
